rubro
"Alimentos, bebidas y tabaco"
"Artículos de electrónica"
"Artículos de fabricación y producción"
"Artículos eléctricos y de iluminación"
"Artículos para estructuras, obras y construcciones"
"Artículos para plantas y animales"
"Combustibles, lubricantes y anticorrosivos"
"Consultoria"
"Educación, formación, entrenamiento y capacitación"
"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos"
"Equipamiento para laboratorios"
"Equipamiento para manejo y estiba de materiales"
"Equipamiento y suministros médicos"
"Equipos y suministros de defensa, orden público, protección y seguridad"
"Equipos y suministros de imprenta, fotográficos y audiovisuales"
"Equipos y suministros de limpieza"
"Equipos, accesorios y suministros de oficina"
"Equipos, suministros y accesorios deportivos y recreativos"
"Herramientas y maquinaria en general"
"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos"
"Maquinaria para agricultura, pesca y silvicultura"
"Maquinaria para construcción y edificación"
"Maquinaria para fabricación y transformación industrial"
"Maquinaria para generación y distribución de energía"
"Maquinaria para minería y perforación"
"Maquinarias, equipos y suministros para la industria de servicios"
"Medicamentos y productos farmacéuticos"
"Muebles y mobiliario"
"Muebles, accesorios, electrodomésticos y productos electrónicos"
"Productos de papel"
"Productos derivados de minerales, plantas y animales"
"Productos impresos y publicaciones"
"Productos para relojería, joyería y gemas"
"Productos químicos industriales"
"Resinas, cauchos, espumas y elastómeros"
"Ropa, maletas y productos de aseo personal"
"Salud, servicios sanitarios y alimentación"
"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna"
"Servicios basados en ingeniería, ciencias sociales y tecnología de la información"
"Servicios básicos y de información pública"
"Servicios de construcción y mantenimiento"
"Servicios de cuidado personal y domésticos"
"Servicios de defensa nacional, orden público y seguridad"
"Servicios de limpieza industrial"
"Servicios de perforación de minería, petróleo y gas"
