codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
5586-24-SE25,2025-01-07,1,UNIVERSIDAD DE LA FRONTERA,Region de la Araucania,Maquinaria para fabricación y transformación industrial,Zalaquett y Avendaño Limitada,10361664
889473-47-SE25,2025-01-08,1,UNIVERSIDAD DE O'HIGGINS,Region del Libertador General Bernardo OHiggins,"Tecnologías de la información, telecomunicaciones y radiodifusión",SOCIEDAD COMERCIAL ALCA LIMITADA,1015800
622-3-SE25,2025-01-08,1,TESORERIA GENERAL DE LA REPUBLICA,Region Metropolitana de Santiago,"Muebles, accesorios, electrodomésticos y productos electrónicos",LINKSUR SPA,5042016
1376-10-SE25,2025-01-08,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",SMART INDUSTRIES SPA,519210
934-1-SE25,2025-01-08,1,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region de los Lagos,Servicios de limpieza industrial,ALVARO JOSE RAMIREZ MEDINA,8515392
5338-9-SE25,2025-01-08,1,UNIVERSIDAD DE MAGALLANES,Region de Magallanes y de la Antartica,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",SODEXO CHILE SPA,2521008
612-7-SE25,2025-01-08,1,SERVICIO AGRICOLA Y GANADERO,Region Metropolitana de Santiago,Servicios de construcción y mantenimiento,REMODELACIONES Y OBRAS MENORES SERGIO ORLANDO FUENTES FABRIS EMPRESA I,1035820
4291-18-SE25,2025-01-08,1,UNIVERSIDAD DE ANTOFAGASTA,Region de Antofagasta,Servicios de cuidado personal y domésticos,EDENRED CHILE SOCIEDAD ANONIMA,9590240
4675-1-SE25,2025-01-08,1,SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,Region Metropolitana de Santiago,Servicios de construcción y mantenimiento,PARCUM SPA,2177756
1491-1-SE25,2025-01-08,1,DIRECCION GENERAL DE AERONAUTICA CIVIL,Region de Los Rios,Servicios de construcción y mantenimiento,RICARDO MAMERTO ARCOS MUNOZ,755000
1953-2912-SE24,2025-01-08,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Muebles, accesorios, electrodomésticos y productos electrónicos",COMERCIALIZADORA DE RESIDUOS CORASA LIMITADA,6127770
5520-104-SE25,2025-01-08,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Artículos para estructuras, obras y construcciones",CONCORDE EXPRESS SPA,6387920
5586-37-SE25,2025-01-08,1,UNIVERSIDAD DE LA FRONTERA,Region de la Araucania,"Tecnologías de la información, telecomunicaciones y radiodifusión",INGENIERIA Y CONSTRUCCION CRISTIAN BELTRAN PULGAR E.I.R.L.,2429826
889473-45-SE25,2025-01-08,1,UNIVERSIDAD DE O'HIGGINS,Region del Libertador General Bernardo OHiggins,"Tecnologías de la información, telecomunicaciones y radiodifusión",SANDOS SPA,3500000
5413-20-SE25,2025-01-09,1,UNIVERSIDAD DE LOS LAGOS,Region de los Lagos,Servicios de producción y fabricación industrial,TRAMA IMPRESORES S A,8200000
730566-16-SE25,2025-01-09,1,SUBSECRETARIA DE EVALUACION SOCIAL,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",HUMAN CONSULT ASESORIAS SPA,2036040
4291-42-SE25,2025-01-09,1,UNIVERSIDAD DE ANTOFAGASTA,Region de Antofagasta,"Tecnologías de la información, telecomunicaciones y radiodifusión",INMOBILIARIA INNOVA SPA,5999500
548874-4-SE25,2025-01-09,1,INSTITUTO DE PREVISION SOCIAL,Region Metropolitana de Santiago,Servicios de limpieza industrial,AB SAMI SERVICIOS INTEGRADOS LIMITADA,246218138
4291-42-SE25,2025-01-09,1,UNIVERSIDAD DE ANTOFAGASTA,Region de Antofagasta,"Tecnologías de la información, telecomunicaciones y radiodifusión",INMOBILIARIA INNOVA SPA,5999500
1035685-3-SE25,2025-01-09,1,CENTRO DE FORMACION TECNICA ESTATAL DE LA REGION DE LOS RIOS,Region de Los Rios,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",ELIANA DEL CARMEN SANHUEZA MANRIQUEZ,5987404
1725-9-SE25,2025-01-09,1,SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES,Region de Valparaiso,"Servicios de transporte, almacenaje y correo",VIVA VIAJES TURISMO LIMITADA,2110000
5413-24-SE25,2025-01-10,1,UNIVERSIDAD DE LOS LAGOS,Region de los Lagos,Equipos y suministros de limpieza,WINKLER LIMITADA,3782104
897096-16-SE24,2025-01-10,1,DIRECCION DE COMPRAS Y CONTRATACION PUBLICA,Region Metropolitana de Santiago,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información","TIVIT CHILE TERCERIZACION DE PROCESOS, SERVICIOS Y TECNOLOGIA SPA",228451659
1084148-4-SE25,2025-01-10,1,SERVICIO LOCAL DE EDUCACION DE CHINCHORRO,Region de Arica y Parinacota,Servicios básicos y de información pública,GTD INTESIS S.A,1881504
4291-56-SE25,2025-01-10,1,UNIVERSIDAD DE ANTOFAGASTA,Region de Antofagasta,Equipamiento para laboratorios,IDEF CHILE SPA,3819528
