codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
1860-6-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3076163
612-72-SE25,2025-02-04,2,SERVICIO AGRICOLA Y GANADERO,Region Metropolitana de Santiago,Artículos para plantas y animales,AGROVET SPA,7150400
1860-5-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,5045417
5472-216-SE24,2025-02-04,2,DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS RÍOS,Region de Los Rios,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",PACIFICO CABLE SPA,4379172
1860-2-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,1898838
1477-46-SE25,2025-02-04,2,Corporación de Asistencia Judicial RM,Region Metropolitana de Santiago,"Servicios de defensa nacional, orden público y seguridad",SEGURIDAD GRUPO ARTE SPA,3641659
1860-6-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3076163
1860-3-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,2979465
885-93-SE25,2025-02-04,2,CONTRALORIA GENERAL DE LA REPUBLICA,Region Metropolitana de Santiago,Servicios básicos y de información pública,TLB CHILE SPA,4000008
1953-186-SE25,2025-02-04,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Alimentos, bebidas y tabaco",ALDO ALFREDO ANILIO ROJAS,1433740
1860-4-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3448984
1860-2-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,1898838
1860-5-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,5045417
1860-1-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,4153683
1860-3-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,2979465
1078638-1-SE25,2025-02-04,2,MINISTERIO DE BIENES NACIONALES,Region del Nuble,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",CABRERA Y JOBIN PUBLICIDAD LIMITADA,16470588
1860-6-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3076163
1348-2-SE25,2025-02-04,2,SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,Region de los Lagos,Servicios de construcción y mantenimiento,CLIMATIZACION JOEL ALEJANDRO GARCIA BOSCH EMPRESA INDIVIDUAL DE RESPON,5880000
748201-91-SE25,2025-02-04,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",ALCON LABORATORIOS CHILE LTDA,542063
1860-2-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,1898838
5251-121-SE25,2025-02-04,2,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,Productos impresos y publicaciones,Miriam Angelica Medina Sanzana,1726000
1860-5-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,5045417
1860-4-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3448984
1860-3-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,2979465
1725-4408-SE25,2025-02-04,2,SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES,Region de Valparaiso,"Equipos, suministros y accesorios deportivos y recreativos",I VIOLINI CHILE LIMITADA,8968060
1860-5-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,5045417
1606-41-SE25,2025-02-04,2,AGENCIA CHILENA DE COOPERACION INTERNACIONAL PARA EL DESARROLLO,Region Metropolitana de Santiago,"Servicios de transporte, almacenaje y correo",ASTRAL TRANSPORTE PRIVADO DE PERSONAS S A,265410
1860-3-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,2979465
5472-229-SE24,2025-02-04,2,DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS RÍOS,Region de Los Rios,"Artículos para estructuras, obras y construcciones",LUIS BERNARDO MORALES ROSALES,23400000
1860-2-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,1898838
1860-1-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,4153683
1860-2-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,1898838
1860-4-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3448984
1860-6-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",GLADYS DEL CARMEN HARO DIAZ,3076163
5413-123-SE25,2025-02-04,2,UNIVERSIDAD DE LOS LAGOS,Region de los Lagos,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",AQUAGESTION S A,7224000
5657-8-SE25,2025-02-04,2,CORP NACIONAL FORESTAL,Region de Los Rios,"Servicios de transporte, almacenaje y correo",ARRENDAMIENTO DE VEHICULOS SALFA SUR LTDA,3907565
1893-1-SE25,2025-02-05,2,SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,Region de Magallanes y de la Antartica,Servicios de limpieza industrial,ARANCIBIA MCLEOD Y COMPANIA LIMITADA,14088000
748201-94-SE25,2025-02-05,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",LABORATORIO CHILE S A,2381895
1410-158-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Antofagasta,Servicios de cuidado personal y domésticos,JEANINA BARRAZA LANAS SALA CUNA EMPRESA INDIVIDUAL,780000
748201-94-SE25,2025-02-05,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",LABORATORIO CHILE S A,2381895
1953-210-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Alimentos, bebidas y tabaco",EUGENIO ALONSO ORDENES SAAVEDRA,955405
1227-22-SE25,2025-02-05,2,SERVICIO NACIONAL DE ADUANAS,Region de Tarapaca,Servicios de limpieza industrial,HILDA JESUSA GARCIA LOPEZ,3753501
748201-95-SE25,2025-02-05,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",LABORATORIO CHILE S A,2793910
1960-2-SE25,2025-02-05,2,DIRECCION GENERAL DE AERONAUTICA CIVIL,Region de Magallanes y de la Antartica,"Servicios de transporte, almacenaje y correo",GOMAQ SPA,3675692
764-17-SE25,2025-02-05,2,DELEGACIÓN PRESIDENCIAL REGIONAL DE MAGALLANES Y DE LA ANTÁRTICA CHILE,Region de Magallanes y de la Antartica,Servicios de limpieza industrial,LUIS TOLEDO,4800000
745712-10-SE25,2025-02-05,2,SERVICIO AGRICOLA Y GANADERO,Region Metropolitana de Santiago,Productos químicos industriales,INDURA S.A.,7072982
748201-95-SE25,2025-02-05,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",LABORATORIO CHILE S A,2793910
1953-210-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,Artículos para plantas y animales,EUGENIO ALONSO ORDENES SAAVEDRA,955405
1153624-14-SE25,2025-02-05,2,SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",CARLOS GUTIERREZ B & CONSULTORES ASOCIADOS S A,461607
5360-54-SE25,2025-02-05,2,UNIVERSIDAD DE TARAPACA,Region de Arica y Parinacota,"Equipos y suministros de defensa, orden público, protección y seguridad",ROSA MAGDALENA DE LOURDES HENRIQUEZ NAVARRETE,336000
1376-82-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",SMART INDUSTRIES SPA,557710
748201-94-SE25,2025-02-05,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",LABORATORIO CHILE S A,2381895
5360-59-SE25,2025-02-05,2,UNIVERSIDAD DE TARAPACA,Region de Arica y Parinacota,Servicios de cuidado personal y domésticos,FRANCISCO JAVIER PAREDES GATICA,648000
605-31-SE25,2025-02-05,2,Consejo de Defensa del Estado,Region Metropolitana de Santiago,Servicios de construcción y mantenimiento,INVERSIONES NUTECH LIMITADA,1196685
1403-3047-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Aysen del General Carlos IbaNez del Campo,"Alimentos, bebidas y tabaco",VIVIANA VALDEBENITO ROMERO E.I.R.L.,985383
1413-60-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de los Lagos,"Alimentos, bebidas y tabaco",CARMEN GLORIA MATEOS CARDENAS,2090480
845-288-SE24,2025-02-05,2,JUNTA NACIONAL DE JARDINES         INFANTILES,Region de Tarapaca,Servicios de construcción y mantenimiento,ECOESPACIO LIMITADA,39950000
748201-92-SE25,2025-02-05,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",MUNNICH PHARMA MEDICAL LIMITADA,2416030
605-31-SE25,2025-02-05,2,Consejo de Defensa del Estado,Region Metropolitana de Santiago,Servicios de construcción y mantenimiento,INVERSIONES NUTECH LIMITADA,1196685
854-19-SE25,2025-02-05,2,JUNTA NACIONAL DE JARDINES         INFANTILES,Region Aysen del General Carlos IbaNez del Campo,Servicios de construcción y mantenimiento,Asplag Chile E.I.R.L.,288000
1953-210-SE25,2025-02-05,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Alimentos, bebidas y tabaco",EUGENIO ALONSO ORDENES SAAVEDRA,955405
5251-141-SE25,2025-02-06,2,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",Miriam Angelica Medina Sanzana,4657800
748201-101-SE25,2025-02-06,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",ASCEND LABORATORIES SPA,1651500
612-78-SE25,2025-02-06,2,SERVICIO AGRICOLA Y GANADERO,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",REMODELACIONES Y OBRAS MENORES SERGIO ORLANDO FUENTES FABRIS EMPRESA I,1075133
1953-211-SE25,2025-02-06,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Tecnologías de la información, telecomunicaciones y radiodifusión",NGS S.A.,6139126
932-8-SE25,2025-02-06,2,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region del Libertador General Bernardo OHiggins,"Servicios profesionales, administrativos y consultorías de gestión empresarial",SOCIEDAD CREATIVA RUN PRODUCCIONES LIMITADA,4201680
1082957-5-SE25,2025-02-06,2,DIRECCION GENERAL DE PROMOCION DE EXPORTACIONES,Region Metropolitana de Santiago,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",GTD INTESIS S.A,296353981
5251-143-SE25,2025-02-06,2,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",LIBRERIA EDUARDO ALBERS LTDA,497880
1953-211-SE25,2025-02-06,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Tecnologías de la información, telecomunicaciones y radiodifusión",NGS S.A.,6139126
712-2-SE25,2025-02-06,2,INSTITUTO NACIONAL DE ESTADISTICAS,Region de Antofagasta,"Servicios de transporte, almacenaje y correo",EMPRESA DE CORREOS DE CHILE,1794053
1084156-89-SE25,2025-02-06,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Equipos, suministros y accesorios deportivos y recreativos",COMERCIAL ENERFIT  SPA,28528806
764-3-SE25,2025-02-06,2,DELEGACIÓN PRESIDENCIAL REGIONAL DE MAGALLANES Y DE LA ANTÁRTICA CHILE,Region de Magallanes y de la Antartica,Servicios de limpieza industrial,TAMARA BEATRIZ RODRIGUEZ SERON,220000
752-46-SE25,2025-02-06,2,GOBIERNO REGIONAL DECIMA REGION LOS LAGOS,Region de los Lagos,"Servicios profesionales, administrativos y consultorías de gestión empresarial",PCINBOX SPA,4989385
1084156-28-SE25,2025-02-06,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",PACIFICO CABLE SPA,1100000
1084156-28-SE25,2025-02-06,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",PACIFICO CABLE SPA,1100000
1301-5-SE25,2025-02-06,2,CORP NACIONAL FORESTAL,Region de los Lagos,"Alimentos, bebidas y tabaco",Marketing & Eventos Claudio Andres Pincheira Moran,17083600
760-22-SE25,2025-02-06,2,SERVICIO AGRICOLA Y GANADERO,Region de Valparaiso,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",COOP AGRICOLA Y DE SERVICIOS LIMITADA,939400
612-78-SE25,2025-02-06,2,SERVICIO AGRICOLA Y GANADERO,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",REMODELACIONES Y OBRAS MENORES SERGIO ORLANDO FUENTES FABRIS EMPRESA I,1075133
1953-211-SE25,2025-02-06,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Valparaiso,"Tecnologías de la información, telecomunicaciones y radiodifusión",NGS S.A.,6139126
1411-287-SE25,2025-02-06,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Metropolitana de Santiago,Servicios básicos y de información pública,GTD INTESIS S.A,4236775
5251-142-SE25,2025-02-06,2,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,"Instrumentos musicales, juegos, juguetes, artesanías y materiales educativos",MIGUEL CONCHA Y COMPANIA LIMITADA,992800
748201-102-SE25,2025-02-07,2,CAJA DE PREVISION DE LA DEFENSA NACIONAL,Region Metropolitana de Santiago,"Salud, servicios sanitarios y alimentación",LABORATORIO CHILE S A,3394600
1155683-11-SE25,2025-02-07,2,CORP NACIONAL FORESTAL,Region del Nuble,"Servicios de transporte, almacenaje y correo",SERVICIOS FORESTALES BUSTOS BARRRERA LTDA,48204000
4728-91-SE25,2025-02-07,2,SUBSECRETARIA DE PESCA Y ACUICULTURA,Region de Valparaiso,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",CESSO SOCIEDAD DE PROFESIONALES LIMITADA,14117647
608897-6168-SE25,2025-02-07,2,SUBSECRETARIA DEL MEDIO AMBIENTE,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",DITECSUR LIMITADA,5341910
675-4-SE25,2025-02-07,2,MINISTERIO DE BIENES NACIONALES,Region del Maule,Servicios de limpieza industrial,EDGARDO ANDRES HONORATO VALDES,12078000
1128-5-SE25,2025-02-07,2,INSTITUTO DE DESARROLLO AGROPECUARIO,Region de Magallanes y de la Antartica,Servicios de construcción y mantenimiento,JAVIER ALBERTO QUELIN CHODIL CONSTRUCCION Y ASESORIAS E I R L,525000
548856-16-SE25,2025-02-07,2,INSTITUTO DE PREVISION SOCIAL,Region de Valparaiso,Servicios de limpieza industrial,ARISMENIA DEL CARMEN BERNAL ARENAS,49200000
633-78-SE25,2025-02-07,2,CORP NACIONAL FORESTAL,Region Metropolitana de Santiago,"Servicios de defensa nacional, orden público y seguridad",AUXI COMERCIAL SPA,1134820
1415861-5-SE25,2025-02-07,2,INSTITUTO DE SEGURIDAD LABORAL,Region Metropolitana de Santiago,Servicios de construcción y mantenimiento,SQO CONSTRUCTORA SPA,30252100
4728-92-SE25,2025-02-07,2,SUBSECRETARIA DE PESCA Y ACUICULTURA,Region de Valparaiso,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",INTELIGENCIA COLABORATIVA INGENIEROS CONSULTORES SPA,16892400
1969-143-SE25,2025-02-07,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region del Biobio,"Alimentos, bebidas y tabaco",GERMAN AQUILES CHAVEZ REYES,527400
1039-45-SE25,2025-02-07,2,CORP NACIONAL FORESTAL,Region Metropolitana de Santiago,"Servicios de transporte, almacenaje y correo",TERESA DEL CARMEN GARRIDO ROJAS E HIJOS,16740000
608897-6157-SE25,2025-02-07,2,SUBSECRETARIA DEL MEDIO AMBIENTE,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",DITECSUR LIMITADA,2710161
1155683-17-SE25,2025-02-07,2,CORP NACIONAL FORESTAL,Region del Nuble,"Servicios de transporte, almacenaje y correo",JUAN ORLANDO GUTIERREZ MOYA ASESORIAS Y SERVICIOS             FORESTALES EIRL,11341200
1084156-100-SE25,2025-02-07,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",PACIFICO CABLE SPA,1100000
1028897-87-SE25,2025-02-07,2,SERVICIO LOCAL DE EDUCACION COSTA ARAUCANIA,Region de la Araucania,Servicios de limpieza industrial,RR SERVICIOS INTEGRALES SPA,51092364
720-58-SE25,2025-02-07,2,SERVICIO AGRICOLA Y GANADERO,Region de Arica y Parinacota,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",Soc Veterinaria limarí y CIA LTDA,9443110
926-6-SE25,2025-02-07,2,SUBSECRETARIA DE TRANSPORTES,Region Metropolitana de Santiago,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información","BRÚJULA, INVESTIGACIÓN Y ESTRATEGIA LIMITADA",135475630
608897-6165-SE25,2025-02-07,2,SUBSECRETARIA DEL MEDIO AMBIENTE,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",DITECSUR LIMITADA,1493142
1084156-98-SE25,2025-02-07,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",CMET TELECOMUNICACIONES S A,593000
591376-2-SE25,2025-02-07,2,INSTITUTO DE DESARROLLO AGROPECUARIO,Region de Los Rios,"Servicios agrícolas, pesqueros, forestales y relacionados con la fauna",ELIZABETH ALEJANDRA BAIER DELGADO,3095955
1344190-79-SE25,2025-02-07,2,SERVICIO NACIONAL DE LA DISCAPACIDAD,Region Metropolitana de Santiago,Equipamiento y suministros médicos,VOLTEV MOTOR SPA,9106000
608897-6160-SE25,2025-02-07,2,SUBSECRETARIA DEL MEDIO AMBIENTE,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",DITECSUR LIMITADA,3838688
633-57-SE25,2025-02-07,2,CORP NACIONAL FORESTAL,Region Metropolitana de Santiago,"Servicios financieros, pensiones y seguros",BCI SEGUROS GENERALES S A,1067062
752-49-SE25,2025-02-07,2,GOBIERNO REGIONAL DECIMA REGION LOS LAGOS,Region de los Lagos,Servicios básicos y de información pública,TELEFONICA MÓVILES CHILE S.A.,272983
768-11-SE25,2025-02-07,2,GOBIERNO REGIONAL DE TARAPACA,Region de Tarapaca,Vehículos y equipamiento en general,CARTONI VEHICULOS INDUSTRIALES LIMITADA,79779615
1881-23-SE25,2025-02-07,2,DEFENSORIA PENAL PUBLICA,Region del Maule,"Servicios profesionales, administrativos y consultorías de gestión empresarial","SERVICIOS JURÍDICOS CARRAZANA, ALCAÍNO Y ASOCIADOS LIMITADA",189600000
1039-30-SE25,2025-02-07,2,CORP NACIONAL FORESTAL,Region Metropolitana de Santiago,"Servicios de transporte, almacenaje y correo",CLAUDIO ENRIQUE FLORES ROMERO TRANSPORTES Y SERVICIOS MATAQUITO E.I.R.,46875000
1028897-77-SE25,2025-02-07,2,SERVICIO LOCAL DE EDUCACION COSTA ARAUCANIA,Region de la Araucania,"Tecnologías de la información, telecomunicaciones y radiodifusión",LIRMI CHILE SPA,3033850
622-51-SE25,2025-02-07,2,TESORERIA GENERAL DE LA REPUBLICA,Region Metropolitana de Santiago,"Tecnologías de la información, telecomunicaciones y radiodifusión",TECNOLOGIA DE INTEGRACION S.A.,66161533
1084156-23-SE25,2025-02-10,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",PACIFICO CABLE SPA,10584489
634-77-SE25,2025-02-10,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Metropolitana de Santiago,Equipos y suministros de limpieza,INGENIERÍA KATHERINE MONTENEGRO Y COMPAÑÍA LIMITADA,1200000
1889-3-SE25,2025-02-10,2,SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,Region Metropolitana de Santiago,Servicios de limpieza industrial,EMPRESA DE ASEOS Y MANTENCIONES DEL SUR LIMITADA,17531576
1051765-103-SE25,2025-02-10,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region del Nuble,"Equipos y suministros de defensa, orden público, protección y seguridad",TERCAM LIMITADA,2400000
1028871-56-SE25,2025-02-10,2,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DE HUASCO,Region de Atacama,"Artículos para estructuras, obras y construcciones",COMERCIAL PELLAHUEN SPA,2650140
1338-8-SE25,2025-02-10,2,SUBSECRETARIA DEL MINISTERIO DE EDUCACION PUBLICA,Region de la Araucania,"Equipos y suministros de defensa, orden público, protección y seguridad",SERVICIOS VIRTUALES DE SEGURIDAD LIMITADA,4033584
4246-21-CC25,2025-02-10,2,SUPERINTENDENCIA DE CASINOS DE JUEGO,Region Metropolitana de Santiago,Servicios básicos y de información pública,CLARO CHILE S.A.,475210
5209-443-SE25,2025-02-10,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,506280
1028897-94-SE25,2025-02-10,2,SERVICIO LOCAL DE EDUCACION COSTA ARAUCANIA,Region de la Araucania,"Servicios de transporte, almacenaje y correo",AMILCAR ALFONSO LOYOLA CURAQUEO,220500
5209-428-SE25,2025-02-10,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,368200
608897-6189-SE25,2025-02-10,2,SUBSECRETARIA DEL MEDIO AMBIENTE,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",DITECSUR LIMITADA,2824145
5740-31-SE25,2025-02-10,2,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Los Rios,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",JC BANQUETERÍA SPA,933563
1606-49-SE25,2025-02-10,2,AGENCIA CHILENA DE COOPERACION INTERNACIONAL PARA EL DESARROLLO,Region Metropolitana de Santiago,"Educación, formación, entrenamiento y capacitación",COMERCIAL Y SERVICIOS DE INGENIERIA AYD LIMITADA,11440388
883-1-SE25,2025-02-10,2,DIRECCION GENERAL DE AERONAUTICA CIVIL,Region Metropolitana de Santiago,"Equipos y suministros de defensa, orden público, protección y seguridad",SMA SEGURIDAD S.A.,50400000
5738-2-SE25,2025-02-10,2,JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECA,Region de Arica y Parinacota,Servicios de limpieza industrial,S&M GREEN PRO SERVICIOS INTEGRALES SPA,39790000
1084156-2453-SE25,2025-02-10,2,SERVICIO LOCAL DE EDUCACION PUBLICA ANDALIEN SUR,Region del Biobio,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",PACIFICO CABLE SPA,460279
1160-2-SE25,2025-02-10,2,SERVICIO AGRICOLA Y GANADERO,Region del Biobio,"Servicios de transporte, almacenaje y correo",ROBERTO PABLO MORA CABEZAS,293160
853-28-SE25,2025-02-11,2,JUNTA NACIONAL DE JARDINES         INFANTILES,Region de los Lagos,Servicios de construcción y mantenimiento,TK ELEVADORES CHILE S.A.,8481520
608897-6200-SE25,2025-02-11,2,SUBSECRETARIA DEL MEDIO AMBIENTE,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",DITECSUR LIMITADA,687228
1588-33-SE25,2025-02-11,2,SERVICIO DE EVALUACION AMBIENTAL,Region Metropolitana de Santiago,"Tecnologías de la información, telecomunicaciones y radiodifusión",Smartnodus SpA,60504000
1161-49-SE25,2025-02-11,2,SERVICIO AGRICOLA Y GANADERO,Region de los Lagos,"Servicios basados en ingeniería, ciencias sociales y tecnología de la información",REPRESENTACIONES AEROTECH SPA,911691
5209-413-SE25,2025-02-11,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,563400
801-3-SE25,2025-02-11,2,CORP NACIONAL DE DESARROLLO INDIGENA,Region de Arica y Parinacota,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",MIGRA COMUNICACIONES SPA,12519328
5209-406-SE25,2025-02-11,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,601200
5209-418-SE25,2025-02-11,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,703900
5209-419-SE25,2025-02-11,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,714100
5209-448-SE25,2025-02-11,2,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Medicamentos y productos farmacéuticos,RECETARIO MAGISTRAL ENDOVENOSO S A,822400
